Year,TeamID,TeamName,MasseyRating,NormalizedRating
2022,1,Arizona Cardinals,-3.222346735,0.1582733134
2022,2,Atlanta Falcons,-1.717299774,0.2897026262
2022,3,Baltimore Ravens,0.9378569431,0.5215661043
2022,4,Buffalo Bills,3.946873495,0.784330648
2022,5,Carolina Panthers,-1.259784373,0.3296554891
2022,6,Chicago Bears,-3.6409348,0.1217198082
2022,7,Cincinnati Bengals,6.416585126,1
2022,8,Cleveland Browns,-0.00986137892,0.4388059174
2022,9,Dallas Cowboys,3.405122217,0.7370218264
2022,10,Denver Broncos,-2.684440092,0.2052463995
2022,11,Detroit Lions,0.9965463319,0.5266911976
2022,12,Green Bay Packers,-0.4442856028,0.4008695082
2022,13,Houston Texans,-5.034794537,0
2022,14,Indianapolis Colts,-3.277287266,0.1534755918
2022,15,Jacksonville Jaguars,-0.5621860855,0.3905737634
2022,16,Kansas City Chiefs,5.796754664,0.9458728572
2022,17,Miami Dolphins,0.1792064647,0.4553164034
2022,18,Minnesota Vikings,0.7523748612,0.5053687476
2022,19,New England Patriots,-0.459826319,0.399512404
2022,20,New Orleans Saints,-1.203369955,0.3345819189
2022,21,New York Giants,0.3401000559,0.4693665524
2022,22,New York Jets,-1.113611052,0.34242018
2022,23,Las Vegas Raiders,-0.9791326127,0.3541636068
2022,24,Philadelphia Eagles,5.950838001,0.9593282959
2022,25,Pittsburgh Steelers,0.6284998937,0.4945512766
2022,26,Los Angeles Rams,-3.345277073,0.1475383328
2022,27,Los Angeles Chargers,-0.2339482018,0.4192373737
2022,28,San Francisco 49ers,4.163931987,0.8032854376
2022,29,Seattle Seahawks,-1.654050359,0.2952259271
2022,30,Tampa Bay Buccaneers,-2.071269795,0.2587919385
2022,31,Tennessee Titans,-0.4352807086,0.4016558671
2022,32,Washington Commanders,-0.1657033192,0.4251969074
2021,1,Arizona Cardinals,1.732092753,0.6324001505
2021,2,Atlanta Falcons,-3.708137147,0.1427257905
2021,3,Baltimore Ravens,0.8131463113,0.5496859051
2021,4,Buffalo Bills,3.192511643,0.763852258
2021,5,Carolina Panthers,-3.811188534,0.1334501491
2021,6,Chicago Bears,-2.102261772,0.2872704166
2021,7,Cincinnati Bengals,3.396475099,0.7822109811
2021,8,Cleveland Browns,0.2115480554,0.4955361272
2021,9,Dallas Cowboys,2.065725387,0.6624303789
2021,10,Denver Broncos,-0.8117921168,0.4034254163
2021,11,Detroit Lions,-3.057915203,0.2012521801
2021,12,Green Bay Packers,3.411690574,0.783580524
2021,13,Houston Texans,-3.812065962,0.1333711719
2021,14,Indianapolis Colts,1.351565604,0.5981489531
2021,15,Jacksonville Jaguars,-5.293805453,0
2021,16,Kansas City Chiefs,5.176411678,0.9424228327
2021,17,Miami Dolphins,-0.2360137873,0.4552511461
2021,18,Minnesota Vikings,1.087583278,0.5743879395
2021,19,New England Patriots,-0.4187539692,0.4388027269
2021,20,New Orleans Saints,0.4357193675,0.5157137568
2021,21,New York Giants,-4.048732058,0.1120688885
2021,22,New York Jets,-5.171062447,0.01104808144
2021,23,Las Vegas Raiders,-0.7745750987,0.406775315
2021,24,Philadelphia Eagles,-1.360768363,0.3540121383
2021,25,Pittsburgh Steelers,-0.9412883412,0.3917694786
2021,26,Los Angeles Rams,5.816087865,1
2021,27,Los Angeles Chargers,0.6292366437,0.5331322207
2021,28,San Francisco 49ers,3.317307077,0.7750850781
2021,29,Seattle Seahawks,0.7567462047,0.5446093391
2021,30,Tampa Bay Buccaneers,3.100024714,0.7555275219
2021,31,Tennessee Titans,1.530423418,0.6142479208
2021,32,Washington Commanders,-2.47593542,0.2536361019
2020,1,Arizona Cardinals,-0.6690114288,0.3665141156
2020,2,Atlanta Falcons,0.1089660663,0.4165795427
2020,3,Baltimore Ravens,1.878117051,0.5304302649
2020,4,Buffalo Bills,5.032589776,0.7334310268
2020,5,Carolina Panthers,0.2663185479,0.4267056958
2020,6,Chicago Bears,-1.626135844,0.3049199912
2020,7,Cincinnati Bengals,-3.403162672,0.1905624325
2020,8,Cleveland Browns,0.6758511593,0.453060475
2020,9,Dallas Cowboys,-3.774308014,0.1666780011
2020,10,Denver Broncos,-0.5449244044,0.3744995264
2020,11,Detroit Lions,-3.431362845,0.188747658
2020,12,Green Bay Packers,5.488241666,0.7627537342
2020,13,Houston Texans,-3.909619591,0.1579702533
2020,14,Indianapolis Colts,0.839478866,0.4635904595
2020,15,Jacksonville Jaguars,-6.364353507,0
2020,16,Kansas City Chiefs,6.007180674,0.7961491772
2020,17,Miami Dolphins,1.961095827,0.5357702238
2020,18,Minnesota Vikings,-1.144270882,0.3359295966
2020,19,New England Patriots,-0.442458971,0.3810935162
2020,20,New Orleans Saints,4.924541549,0.7264777657
2020,21,New York Giants,-3.241861812,0.2009426768
2020,22,New York Jets,-4.800968273,0.100609015
2020,23,Las Vegas Raiders,1.656351283,0.5161589036
2020,24,Philadelphia Eagles,-4.360525346,0.1289529753
2020,25,Pittsburgh Steelers,0.2908988016,0.4282875165
2020,26,Los Angeles Rams,2.206131579,0.5515390855
2020,27,Los Angeles Chargers,0.418415383,0.4364936306
2020,28,San Francisco 49ers,-1.470243234,0.3149521967
2020,29,Seattle Seahawks,0.9628244916,0.4715281589
2020,30,Tampa Bay Buccaneers,9.174862679,1
2020,31,Tennessee Titans,-0.3985311531,0.3839204167
2020,32,Washington Commanders,-2.310127424,0.2609028688
2019,1,Arizona Cardinals,-1.764559132,0.3283173431
2019,2,Atlanta Falcons,0.365742049,0.466065455
2019,3,Baltimore Ravens,4.046932733,0.7040961479
2019,4,Buffalo Bills,0.001835892732,0.4425347982
2019,5,Carolina Panthers,-1.438353577,0.3494102288
2019,6,Chicago Bears,-0.4234214137,0.4150370943
2019,7,Cincinnati Bengals,-4.27869126,0.1657502109
2019,8,Cleveland Browns,-1.523415692,0.3439099991
2019,9,Dallas Cowboys,-0.1037722437,0.4357060354
2019,10,Denver Broncos,0.2993464876,0.4617722296
2019,11,Detroit Lions,-3.804600692,0.1964055386
2019,12,Green Bay Packers,3.037995289,0.6388569089
2019,13,Houston Texans,0.9894078616,0.5063925172
2019,14,Indianapolis Colts,-0.2562159466,0.4258488226
2019,15,Jacksonville Jaguars,-1.632952058,0.3368272318
2019,16,Kansas City Chiefs,8.623143012,1
2019,17,Miami Dolphins,-4.97323534,0.1208400656
2019,18,Minnesota Vikings,2.195114556,0.584355118
2019,19,New England Patriots,1.75571992,0.5559432756
2019,20,New Orleans Saints,3.662190081,0.6792181756
2019,21,New York Giants,-5.707173744,0.07338263081
2019,22,New York Jets,-3.474971452,0.2177198043
2019,23,Las Vegas Raiders,-0.6024358964,0.4034617794
2019,24,Philadelphia Eagles,-1.525448322,0.3437785666
2019,25,Pittsburgh Steelers,0.0008226284458,0.4424692792
2019,26,Los Angeles Rams,2.512362022,0.6048687617
2019,27,Los Angeles Chargers,-0.9479220075,0.3811221873
2019,28,San Francisco 49ers,6.323900375,0.8513279086
2019,29,Seattle Seahawks,2.346596163,0.5941501205
2019,30,Tampa Bay Buccaneers,0.07788423403,0.4474521853
2019,31,Tennessee Titans,3.060225788,0.6402943625
2019,32,Washington Commanders,-6.842050316,0
2018,1,Arizona Cardinals,-4.645429659,0
2018,2,Atlanta Falcons,-1.191112959,0.2991195725
2018,3,Baltimore Ravens,1.850705758,0.5625197159
2018,4,Buffalo Bills,-2.288117806,0.2041266551
2018,5,Carolina Panthers,0.03255028779,0.405080218
2018,6,Chicago Bears,3.379454021,0.6948985817
2018,7,Cincinnati Bengals,-1.327055574,0.2873478965
2018,8,Cleveland Browns,-0.05990215011,0.397074486
2018,9,Dallas Cowboys,-0.2794107266,0.3780665845
2018,10,Denver Broncos,-1.625526035,0.2615024502
2018,11,Detroit Lions,-1.37161655,0.2834892289
2018,12,Green Bay Packers,-1.429097938,0.2785117443
2018,13,Houston Texans,1.06635849,0.4946007496
2018,14,Indianapolis Colts,1.203947244,0.5065149697
2018,15,Jacksonville Jaguars,-1.274516045,0.2918974508
2018,16,Kansas City Chiefs,4.990029179,0.8343630821
2018,17,Miami Dolphins,-2.337628369,0.199839388
2018,18,Minnesota Vikings,0.4121449172,0.4379504476
2018,19,New England Patriots,6.902850754,1
2018,20,New Orleans Saints,4.347046344,0.7786852831
2018,21,New York Giants,-2.047284301,0.2249811457
2018,22,New York Jets,-3.391277988,0.1086007289
2018,23,Las Vegas Raiders,-4.392679459,0.02188639269
2018,24,Philadelphia Eagles,0.5137996261,0.4467530317
2018,25,Pittsburgh Steelers,2.32638975,0.6037106097
2018,26,Los Angeles Rams,3.690243996,0.7218108113
2018,27,Los Angeles Chargers,2.320749332,0.6032221891
2018,28,San Francisco 49ers,-3.677674678,0.08380078648
2018,29,Seattle Seahawks,1.323027389,0.5168264742
2018,30,Tampa Bay Buccaneers,-1.814651462,0.2451255161
2018,31,Tennessee Titans,0.8840970746,0.4788181907
2018,32,Washington Commanders,-2.090412464,0.2212465496
2017,1,Arizona Cardinals,-1.694823107,0.374866615
2017,2,Atlanta Falcons,3.532724265,0.7227440327
2017,3,Baltimore Ravens,0.9306429492,0.5495834156
2017,4,Buffalo Bills,-0.6564378139,0.4439680059
2017,5,Carolina Panthers,2.300217065,0.6407244179
2017,6,Chicago Bears,-1.120619321,0.4130781349
2017,7,Cincinnati Bengals,-2.358546146,0.3306978604
2017,8,Cleveland Browns,-7.327936637,0
2017,9,Dallas Cowboys,1.609752915,0.5947761235
2017,10,Denver Broncos,-3.009640666,0.2873694955
2017,11,Detroit Lions,1.449740284,0.5841277684
2017,12,Green Bay Packers,-0.9267330682,0.4259806768
2017,13,Houston Texans,-4.28660183,0.2023916043
2017,14,Indianapolis Colts,-4.787494262,0.1690587325
2017,15,Jacksonville Jaguars,1.937711229,0.6166007543
2017,16,Kansas City Chiefs,2.298735837,0.6406258467
2017,17,Miami Dolphins,-2.459128984,0.3240043777
2017,18,Minnesota Vikings,4.546800461,0.7902277269
2017,19,New England Patriots,5.05124947,0.823797278
2017,20,New Orleans Saints,4.361784288,0.7779154619
2017,21,New York Giants,-3.613098022,0.2472112393
2017,22,New York Jets,-2.647456372,0.3114717615
2017,23,Las Vegas Raiders,-2.001545779,0.3544551518
2017,24,Philadelphia Eagles,7.699044439,1
2017,25,Pittsburgh Steelers,1.921049704,0.6154919804
2017,26,Los Angeles Rams,1.123148356,0.5623940664
2017,27,Los Angeles Chargers,1.532349056,0.5896251315
2017,28,San Francisco 49ers,-1.273438473,0.402908484
2017,29,Seattle Seahawks,1.305805608,0.5745493523
2017,30,Tampa Bay Buccaneers,-0.8550659522,0.4307499059
2017,31,Tennessee Titans,-1.930975385,0.3591513974
2017,32,Washington Commanders,-0.6512141096,0.4443156276
2016,1,Arizona Cardinals,-0.1173992148,0.4019840341
2016,2,Atlanta Falcons,5.998150516,0.8324999629
2016,3,Baltimore Ravens,-0.2131577579,0.3952429266
2016,4,Buffalo Bills,-0.3803136319,0.3834756662
2016,5,Carolina Panthers,0.2440315338,0.4274276494
2016,6,Chicago Bears,-4.604098223,0.08613419633
2016,7,Cincinnati Bengals,0.01608376184,0.411380826
2016,8,Cleveland Browns,-5.827648679,0
2016,9,Dallas Cowboys,3.519736756,0.658027242
2016,10,Denver Broncos,2.009775682,0.5517306173
2016,11,Detroit Lions,-2.295956117,0.2486203155
2016,12,Green Bay Packers,2.443617014,0.5822717154
2016,13,Houston Texans,-0.4209363161,0.3806159539
2016,14,Indianapolis Colts,-0.5726128785,0.3699383895
2016,15,Jacksonville Jaguars,-4.36740034,0.1027970007
2016,16,Kansas City Chiefs,3.450788858,0.6531735215
2016,17,Miami Dolphins,-0.9387662605,0.3441623154
2016,18,Minnesota Vikings,-0.04539123659,0.4070531748
2016,19,New England Patriots,8.377516152,1
2016,20,New Orleans Saints,0.3686726792,0.4362020034
2016,21,New York Giants,-0.0343329961,0.407831641
2016,22,New York Jets,-2.357220078,0.2443075207
2016,23,Las Vegas Raiders,0.8298923505,0.4686704525
2016,24,Philadelphia Eagles,0.9520862431,0.4772725275
2016,25,Pittsburgh Steelers,3.069923004,0.6263617345
2016,26,Los Angeles Rams,-3.826091403,0.1409034883
2016,27,Los Angeles Chargers,-1.110225143,0.3320921364
2016,28,San Francisco 49ers,-5.590206533,0.0167151982
2016,29,Seattle Seahawks,1.777927076,0.5354091871
2016,30,Tampa Bay Buccaneers,0.660113104,0.4567185147
2016,31,Tennessee Titans,-1.488119427,0.3054895388
2016,32,Washington Commanders,0.4715615057,0.443445061
2015,1,Arizona Cardinals,4.80350976,0.8289288348
2015,2,Atlanta Falcons,-1.104829018,0.3567235766
2015,3,Baltimore Ravens,-1.770628385,0.3035116716
2015,4,Buffalo Bills,-0.8568168918,0.37654516
2015,5,Carolina Panthers,5.453552895,0.880881473
2015,6,Chicago Bears,-0.3241522404,0.4191166947
2015,7,Cincinnati Bengals,4.36907257,0.7942078188
2015,8,Cleveland Browns,-3.364725607,0.1761085014
2015,9,Dallas Cowboys,-3.960754055,0.1284728161
2015,10,Denver Broncos,6.943990794,1
2015,11,Detroit Lions,0.2144713074,0.4621644753
2015,12,Green Bay Packers,4.411326911,0.7975848631
2015,13,Houston Texans,-1.616352653,0.3158416706
2015,14,Indianapolis Colts,-2.248127603,0.2653490594
2015,15,Jacksonville Jaguars,-4.804693262,0.06102364868
2015,16,Kansas City Chiefs,4.505479155,0.8051096829
2015,17,Miami Dolphins,-3.8717224,0.135588389
2015,18,Minnesota Vikings,4.1373065,0.7756846499
2015,19,New England Patriots,3.738832431,0.7438378723
2015,20,New Orleans Saints,-2.408030729,0.2525693086
2015,21,New York Giants,-1.005191489,0.3646867904
2015,22,New York Jets,0.1980692663,0.4608535942
2015,23,Las Vegas Raiders,0.227228178,0.4631840278
2015,24,Philadelphia Eagles,-1.586170978,0.3182538454
2015,25,Pittsburgh Steelers,2.680443646,0.6592495019
2015,26,Los Angeles Rams,-0.08277269236,0.4384081904
2015,27,Los Angeles Chargers,-1.623119044,0.3153008883
2015,28,San Francisco 49ers,-2.661694633,0.2322960247
2015,29,Seattle Seahawks,2.864158767,0.6739323509
2015,30,Tampa Bay Buccaneers,-3.764969951,0.1441202403
2015,31,Tennessee Titans,-5.568234929,0
2015,32,Washington Commanders,-1.924455616,0.2912175175
2014,1,Arizona Cardinals,0.9231491473,0.5226879536
2014,2,Atlanta Falcons,-2.477462671,0.2553064281
2014,3,Baltimore Ravens,2.820766375,0.6718928074
2014,4,Buffalo Bills,1.712059182,0.5847179587
2014,5,Carolina Panthers,-0.702012332,0.3949056077
2014,6,Chicago Bears,-2.125532315,0.2829778238
2014,7,Cincinnati Bengals,0.1886007941,0.4649322703
2014,8,Cleveland Browns,-1.808392612,0.3079137184
2014,9,Dallas Cowboys,2.526943871,0.6487902854
2014,10,Denver Broncos,3.173769299,0.6996485364
2014,11,Detroit Lions,1.038312113,0.5317429269
2014,12,Green Bay Packers,3.367943122,0.7149159341
2014,13,Houston Texans,0.5674657538,0.494721466
2014,14,Indianapolis Colts,3.80476978,0.7492625119
2014,15,Jacksonville Jaguars,-5.472104687,0.01984528364
2014,16,Kansas City Chiefs,1.747996578,0.5875436255
2014,17,Miami Dolphins,1.13370299,0.5392432709
2014,18,Minnesota Vikings,-0.6096195747,0.4021702171
2014,19,New England Patriots,6.993699396,1
2014,20,New Orleans Saints,-0.9474942235,0.3756039861
2014,21,New York Giants,-1.401861213,0.3398782563
2014,22,New York Jets,-2.165641433,0.2798241451
2014,23,Las Vegas Raiders,-3.874302807,0.1454764133
2014,24,Philadelphia Eagles,1.770643306,0.5893242806
2014,25,Pittsburgh Steelers,0.6849630596,0.5039599826
2014,26,Los Angeles Rams,-1.896554564,0.3009817666
2014,27,Los Angeles Chargers,0.9917854454,0.5280846525
2014,28,San Francisco 49ers,-0.4662238806,0.4134450586
2014,29,Seattle Seahawks,6.19078846,0.9368691393
2014,30,Tampa Bay Buccaneers,-5.209359261,0.04050429346
2014,31,Tennessee Titans,-5.724500981,0
2014,32,Washington Commanders,-4.756296117,0.07612750507
2013,1,Arizona Cardinals,3.486958875,0.5907725639
2013,2,Atlanta Falcons,-2.152234566,0.1907464518
2013,3,Baltimore Ravens,-1.46203081,0.2397072701
2013,4,Buffalo Bills,-2.941344833,0.1347695261
2013,5,Carolina Panthers,2.438975774,0.5164320381
2013,6,Chicago Bears,-1.319057773,0.249849314
2013,7,Cincinnati Bengals,0.3072043078,0.3652110771
2013,8,Cleveland Browns,-4.841199379,0
2013,9,Dallas Cowboys,0.4487929871,0.3752549193
2013,10,Denver Broncos,6.224392556,0.7849572402
2013,11,Detroit Lions,-1.172343567,0.2602567445
2013,12,Green Bay Packers,-1.55645423,0.2330091785
2013,13,Houston Texans,-3.292834638,0.1098359781
2013,14,Indianapolis Colts,1.444495201,0.4458868084
2013,15,Jacksonville Jaguars,-4.162167924,0.04816829138
2013,16,Kansas City Chiefs,2.268691602,0.5043526307
2013,17,Miami Dolphins,-0.8769992172,0.2812075158
2013,18,Minnesota Vikings,-2.875982889,0.1394060906
2013,19,New England Patriots,2.32748575,0.5085232971
2013,20,New Orleans Saints,2.763946924,0.5394844387
2013,21,New York Giants,-0.8303543512,0.2845163514
2013,22,New York Jets,-2.050921997,0.1979332372
2013,23,Las Vegas Raiders,-3.583497419,0.08921730219
2013,24,Philadelphia Eagles,0.8675303366,0.4049587902
2013,25,Pittsburgh Steelers,-0.8952209871,0.2799149225
2013,26,Los Angeles Rams,0.9555448992,0.4112022581
2013,27,Los Angeles Chargers,1.82024957,0.4725416059
2013,28,San Francisco 49ers,6.021067968,0.7705340527
2013,29,Seattle Seahawks,9.255863961,1
2013,30,Tampa Bay Buccaneers,-2.126611348,0.1925640799
2013,31,Tennessee Titans,-0.282367856,0.323388738
2013,32,Washington Commanders,-4.209576925,0.04480525044
