1,ARZ/ARI,Arizona Cardinals,,
2,ATL,Atlanta Falcons,,
3,BLT,Batlimore Ravens,,
4,BUF,Buffalo Bills,,
5,CAR,Carolina Panthers,,
6,CHI,Chicago Bears,,
7,CIN,Cincinnati Bengals,,
8,CLV,Cleveland Browns,,
9,DAL,Dallas Cowboys,,
10,DEN,Denver Broncos,,
11,DET,Detroit Lions,,
12,GB,Green Bay Packers,,
13,HST/HOU,Houston Texans,,
14,IND,Indianapolis Colts,,
15,JAX,Jacksonville Jaguars,,
16,KC,Kansas City Chiefs,,
17,MIA,Miami Dolphins,,
18,MIN,Minnesota Vikings,,
19,NE,New England Patriots,,
20,NO,New Orleans Saints,,
21,NYG,New York Giants,,
22,NYJ,New York Jets,,
23,LV/OAK,Las Vegas Raiders,Oakland Raiders,
24,PHI,Philadelphia Eagles,,
25,PIT,Pittsburgh Steelers,,
26,LA/SL,Los Angeles Rams,St. Louis Rams,
27,LAC/SD,Los Angeles Chargers,San Diego Chargers,
28,SF,San Franciso 49ers,,
29,SEA,Seattle Seahawks,,
30,TB,Tampa Bay Buccaneers,,
31,TEN,Tennessee Titans,,
32,WAS,Washington Commanders,Washington Football Team,Washington Redskins